Titel,Year,Make,Model,Price,Search Model,Transmission,Mileage,Location,Description,Flags,URL
2012 Hyundai santa fe,2012,Hyundai,santa fe,8300000,,automatic,163000,Quilpué,Auto en excelente estado. Mantenciones al día con repuestos originales. 4x4 full.,"['al dia', 'repuestos']",https://web.facebook.com/marketplace/item/642508724669131/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2006 Hyundai terracan,2006,Hyundai,terracan,4000000,,automatic,255000,Quilicura,"Terracan 2.9 automática Full equipo Asientos de cuero Sunroof Alzavidrios Radio android 9"" Coco de arrastre Económica diésel Cierre centralizado 4*4 Tres corridas de asientos Detalles: Parabrisa (ver foto) Bombin del maletero Regresa el líquido refrigerante Trabajos realizados Distribución hace 15.000 aprox con Radiador frontal, bomba de agua, viscoso, cambio de coolant prestone 50/50, limpieza de linea de enfriamiento y empaques nuevos (aún quedan nuevos ) se entregan. Se puede ver en Quilicura. La estoy ofertando al precio que me estaban dando en un persa de autos, pero no quiero dejarla ahi ☹️. Es una camioneta muy segura y con mucha fuerza.",[],https://web.facebook.com/marketplace/item/355890767426854/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2000 Hyundai santamo,2000,Hyundai,santamo,600000,,automatic,10000,El Tabo,"Santamos a la venta 600mil cada uno Vendo 2 santamos automaticos completos para desarme o proyecto. Uno es 4x4 full equipo motor 2.0, funciona todo menos la caja de cambios, falta alineacion. Color verde oscuro con sus 5 llantas originales. Transferible, papeles atrasados. El otro es 4x2 motor 1.8 motor malo. Color azul oscuro. No tiene papeles.","['atrasados', 'desarme', 'malo']",https://web.facebook.com/marketplace/item/726008699646343/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2004 Hyundai elantra,2004,Hyundai,elantra,2200000,,automatic,232000,Maule,"Totalidad documentación al día, con detalles estético exterior, sin multas a toda prueba precio conversable Fono [hidden information]","['conversable', 'al dia']",https://web.facebook.com/marketplace/item/436551815618397/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
1994 Hyundai sonata,1994,Hyundai,sonata,500000,,automatic,10000,San Ramón,Comversable tine el puro motor de partida malo y no tine batería,['malo'],https://web.facebook.com/marketplace/item/1326674858020261/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2012 Hyundai santa fe,2012,Hyundai,santa fe,6890000,,automatic,162000,Pudahuel,Espectacular Santa Fe Diésel 2.2 Full full equipo Interior muy buen estado Exterior detalles mínimos Neumáticos y llantas impecables Diésel a toda prueba Realmente una muy buena camioneta Se compro en remate Por eso el precio ! Papeles pagado hasta 2025,['detalles menores'],https://web.facebook.com/marketplace/item/1390536504926140/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2012 Hyundai santa fe,2012,Hyundai,santa fe,7200000,,automatic,140000,San Miguel,Vehículo en exelente estado,[],https://web.facebook.com/marketplace/item/856398676250553/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
1999 Hyundai santamo,1999,Hyundai,santamo,600000,,automatic,111000,San Vicente,Venta por apuro detalle en caja y atrasada se va al mejor postor esta andando motor inpeke,['atrasada'],https://web.facebook.com/marketplace/item/1518687848710134/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2009 Hyundai azera,2009,Hyundai,azera,5400000,,automatic,195000,Santiago,Alguna permuta interesante,[],https://web.facebook.com/marketplace/item/385609894290906/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2007 Hyundai tucson,2007,Hyundai,tucson,4800000,,automatic,152000,La Florida,Hyundai Tucson año 2007 A/C 4x4 2 dueños Al día hasta el 2025 152 mil kilómetros Automática Radios con pantalla Alzavidrios eléctricos Se puede ver en la comuna de peñalolen Recibo auto en parte de pago,"['al dia', 'parte']",https://web.facebook.com/marketplace/item/1084836536136364/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2011 Hyundai elantra,2011,Hyundai,elantra,6800000,,automatic,143000,Rancagua,"Hyundai Elantra 
Version GLS
Automático
143mil km
Valor $6.800.000",[],https://web.facebook.com/marketplace/item/1184563909172779/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2008 Hyundai accent,2008,Hyundai,accent,2100000,,automatic,100000,Viña del Mar,Se vende 2.100.000 conversable no mucho👍 Más info inbox Transferible y al día Tengo el parachoque con los 2 focos originales las 4 llantas radio con pantalla y subwoofer,"['conversable', 'al dia']",https://web.facebook.com/marketplace/item/949380790193258/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2013 Hyundai tucson,2013,Hyundai,tucson,8000000,,automatic,170000,San Bernardo,Full al día sin problema impecable,['al dia'],https://web.facebook.com/marketplace/item/1693929914348150/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2004 Hyundai terracan,2004,Hyundai,terracan,3950000,,automatic,258000,El Monte,"De uso diario,al día ,transferible,a toda prueba,revise con mecánico de confianza,cambiar bomba de agua,revise con mecánico de confianza.exelente y muy amplio todo terreno",['al dia'],https://web.facebook.com/marketplace/item/421946220294539/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
