Titel,Year,Make,Model,Price,Search Model,Transmission,Mileage,Location,Description,Flags,URL
2000 Mazda mpv,2000,Mazda,mpv,4500000,,automatic,184000,La Serena,"Vendo mazda mpv año 2000 a toda prueba accesorios varios, radio android, pantalla en el interior, barras porta equipaje y porta equipaje. Más detalles o información vía WhatsApp [hidden information]",[],https://web.facebook.com/marketplace/item/2484333155099191/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
1999 Mazda artis,1999,Mazda,artis,1700000,,automatic,277000,Yungay,"Valor algo conversable Se vende como está por no uso, papeles al día 2024, no transferible (dueño muerto) Sólo interesados.","['conversable', 'al dia', 'no transferible']",https://web.facebook.com/marketplace/item/921909869724638/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2008 Mazda 6,2008,Mazda,6,4200000,,automatic,156000,Coronel,"Vendo por renovacion mazda 6 automatico 4 puertas, transferible y al dia. Auto amplio, comodo, elegante y suave de andar. Detalles unicos exteriores y trizadura en parabrisas(nada grave como se observa en imagen) Cuenta con AC, caja trip tonic, llantas originales, espejos electricos, volante regulable de altura, sensor de lluvia, alarma a la llave, cierre centralizado y comando al volante. Excelente auto, 2.0 solo se vende por renovación. Cualquier consulta por inbox o a +5*6*9*4*5*7*4*2*8*6*9. Puedo verse en coronel. Tambien se permuta.",['al dia'],https://web.facebook.com/marketplace/item/962649958861533/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2003 Mazda 6,2003,Mazda,6,3400000,,automatic,250000,Quirihue,"Se vende Mazda6 año 2003, full, comandos al volante, velocidad crucero, aire acondicionado, cierre centralizado, alarma, papeles al día, transferencia inmediata, consultas al interno. O llamar 9️⃣3️⃣7️⃣4️⃣8️⃣7️⃣0️⃣7️⃣7️⃣",['al dia'],https://web.facebook.com/marketplace/item/339799162359546/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2013 Mazda bt-50,2013,Mazda,bt-50,9500000,,automatic,122000,Los Ángeles,Camioneta full equipo 4*4 a toda prueba detalles de uso diario  precio conversable,['conversable'],https://web.facebook.com/marketplace/item/431008279328049/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2006 Mazda mpv,2006,Mazda,mpv,4100000,,automatic,130000,Chillán,Detalles mínimos dé carrocería  precio conversable único dueño,"['conversable', 'detalles menores']",https://web.facebook.com/marketplace/item/970826307945260/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
1998 Mazda 626,1998,Mazda,626,2000000,,automatic,28000,Tucapel,"Se permuta por moto más dinero a mi favor, detalles al dm",[],https://web.facebook.com/marketplace/item/1196700548370499/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2011 Mazda 6,2011,Mazda,6,6650000,,automatic,121000,Linares,"Vehículo con 121.000 km, automático triptonic, climatizador dual, neumáticos nuevos, documentación al día, espejo retrovisor interior anti reflejo, velocidad crucero, sensor de retroceso, comando al volante, amplio maletero, espejo retrovisores eléctrico, ship de arranque, dos juego de llaves, etc… [hidden information]",['al dia'],https://web.facebook.com/marketplace/item/807624154579675/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2008 Mazda bt-50,2008,Mazda,bt-50,5690000,,automatic,220000,Traiguén,Camioneta Mazda BT-50 turbo diésel 2.5 automática Espejos eléctricos Alza vidrios eléctricos Air bag Pisaderas Barra antivuelco A toda prueba !! Detalles por el año .. valor conversable [hidden information] wsp,['conversable'],https://web.facebook.com/marketplace/item/724951179760955/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2015 Mazda 6 v,2015,Mazda,6 v,9990000,,automatic,130000,Los Ángeles,"MAZDA 6V 2015 ☑Entrega inmediata ☑Transferencia vía Autofact ☑ Opciones de financiamiento automotriz ☑ Recibimos vehículos en parte de pago ☑Agenda tu prueba de ruta 📍 Av. Las Industrias 8080, Los Ángeles, Chile. Ejecutiva de Ventas Automotriz Nancagua Macarena Contreras 📲9️⃣7️⃣2️⃣6️⃣6️⃣9️⃣7️⃣3️⃣9️⃣",['parte'],https://web.facebook.com/marketplace/item/1129653328043545/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2009 Mazda 3,2009,Mazda,3,5000000,,automatic,240000,Chillán,Se permuta o vende,[],https://web.facebook.com/marketplace/item/762804765471972/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
1998 Mazda artis,1998,Mazda,artis,2500000,,automatic,295000,Los Ángeles,"Mazda Artis ,,full equipo , exelentes condiciones para el año .aire acondicionado,automático ,alza vidrios en cuatro puertas ,espejos eléctricos, dirección hidráulica,dos posiones volante , motor impecable y caja impecable",[],https://web.facebook.com/marketplace/item/7700075266719720/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
